GeneID	ANNOTATION_SYMBOL	NAME	ISC	EB	EC	EE	VM
FBgn0000003	CR32864	Signal recognition particle 7SL RNA CR32864	0.014	0.028	0.000	0.000	0.009
FBgn0000008	CG6741	arc	0.953	1.757	1.139	0.422	0.473
FBgn0000014	CG10325	abdominal A	0.003	0.007	0.147	0.011	0.010
FBgn0000015	CG11648	Abdominal B	0.027	0.027	0.082	0.315	0.131
FBgn0000017	CG4032	Abl tyrosine kinase	0.046	0.045	0.038	0.066	0.065
FBgn0000018	CG6093	abnormal oocyte	2.588	4.225	4.413	3.907	2.861
FBgn0000022	CG3796	achaete	0.000	0.000	0.000	0.000	0.034
FBgn0000024	CG17907	Acetylcholine esterase	0.111	1.285	0.791	1.699	1.423
FBgn0000028	CG9151	abnormal chemosensory jump 6	0.009	0.004	0.073	0.041	0.032
FBgn0000032	CG7899	Acid phosphatase 1	2.868	3.092	3.398	11.450	3.046
FBgn0000036	CG5610	nicotinic Acetylcholine Receptor alpha1	0.007	0.004	0.014	0.012	0.004
FBgn0000037	CG4356	muscarinic Acetylcholine Receptor	0.007	0.014	0.031	0.342	0.017
FBgn0000038	CG11348	nicotinic Acetylcholine Receptor beta1	0.442	0.495	1.816	1.318	1.386
FBgn0000039	CG6844	nicotinic Acetylcholine Receptor alpha2	0.012	0.018	0.067	0.075	0.016
FBgn0000042	CG4027	Actin 5C	510.346	489.536	390.483	267.403	345.689
FBgn0000043	CG12051	Actin 42A	342.032	445.688	357.418	66.294	258.156
FBgn0000044	CG10067	Actin 57B	0.051	0.234	0.026	0.156	2.986
FBgn0000045	CG7478	Actin 79B	0.250	0.344	0.645	0.458	0.914
FBgn0000046	CG18290	Actin 87E	0.055	0.163	0.039	0.139	0.674
FBgn0000047	CG5178	Actin 88F	0.074	0.017	0.015	0.129	0.031
FBgn0000052	CG9127	adenosine 2	0.544	0.650	0.716	1.187	0.561
FBgn0000053	CG31628	adenosine 3	20.415	8.385	10.480	2.631	4.349
FBgn0000054	CG15845	Adh transcription factor 1	1.940	1.684	1.829	3.534	1.725
FBgn0000055	CG3481	Alcohol dehydrogenase	0.047	0.074	0.013	0.010	0.037
FBgn0000056	CG3484	Adh-related	0.000	0.000	0.000	0.000	0.000
FBgn0000057	CG5124	adipose	1.975	2.488	3.186	4.968	3.246
FBgn0000061	CG3935	aristaless	0.021	0.048	0.000	0.181	0.057
FBgn0000063	CG7643	altered disjunction	4.277	3.602	3.528	4.532	3.589
FBgn0000064	CG6058	Aldolase	21.308	27.236	25.530	32.156	58.164
FBgn0000071	CG2198	Amalgam	0.487	0.408	0.010	0.012	0.249
FBgn0000075	CG10501	alpha methyl dopa-resistant	0.109	0.767	0.645	0.055	2.398
FBgn0000077	CG12127	almondex	2.537	1.951	2.840	5.917	2.119
FBgn0000078	CG17876	Amylase distal	3.738	1.850	4.799	25.126	60.818
FBgn0000079	CG18730	Amylase proximal	5.564	4.494	806.443	95.035	364.230
FBgn0000083	CG5730	Annexin B9	46.948	49.487	35.975	36.872	52.907
FBgn0000084	CG9579	Annexin B10	9.742	12.718	7.419	10.524	4.053
FBgn0000092	CG2650	-	1.621	1.317	3.300	0.326	0.551
FBgn0000094	CG1361	Andropin	0.009	0.188	0.124	0.108	0.242
FBgn0000097	CG3166	anterior open	1.644	2.079	1.863	1.808	2.085
FBgn0000099	CG8376	apterous	0.103	0.030	0.024	0.097	0.025
FBgn0000100	CG7490	Ribosomal protein LP0	2161.544	2152.104	1871.613	851.294	1506.048
FBgn0000108	CG7727	beta amyloid protein precursor-like	0.059	0.028	0.303	5.198	0.061
FBgn0000109	CG18315	Adenine phosphoribosyltransferase	30.750	58.345	85.010	49.944	52.709
FBgn0000114	CG31762	arrest	0.027	0.063	0.106	0.052	0.244
FBgn0000115	CG6025	ADP ribosylation factor-like 1	23.870	24.127	27.469	28.989	22.283
FBgn0000116	CG32031	Arginine kinase	8.883	16.054	42.482	46.091	80.256
FBgn0000117	CG11579	armadillo	10.892	5.379	4.348	6.168	4.137
FBgn0000119	CG5912	arrow	3.579	2.738	1.783	1.932	1.363
FBgn0000120	CG5711	Arrestin 1	0.000	0.005	0.000	0.002	0.009
FBgn0000121	CG5962	Arrestin 2	0.012	0.000	0.000	0.058	0.008
FBgn0000137	CG3258	asense	0.177	0.013	0.078	0.030	0.046
FBgn0000139	CG6677	"absent, small, or homeotic discs 2"	25.981	21.072	14.529	6.197	11.453
FBgn0000140	CG6875	abnormal spindle	0.375	0.111	0.055	3.215	0.298
FBgn0000146	CG6137	aubergine	0.321	0.654	0.283	0.558	0.438
FBgn0000147	CG3068	aurora	2.528	2.775	3.351	4.904	4.492
FBgn0000150	CG2210	abnormal wing discs	4503.887	4789.802	3438.278	1658.407	2226.376
FBgn0000152	CG9703	Abnormal X segregation	0.059	0.052	0.040	0.040	0.046
FBgn0000153	CG7811	black	0.252	0.539	0.481	0.334	0.393
FBgn0000157	CG3629	Distal-less	0.009	0.040	0.013	0.029	0.020
FBgn0000158	CG10422	bag of marbles	0.308	0.654	0.123	0.043	0.320
FBgn0000163	CG5055	bazooka	3.026	1.688	1.870	1.128	1.195
FBgn0000166	CG1034	bicoid	0.002	0.001	0.002	0.002	0.001
FBgn0000173	CG18319	bendless	9.812	10.886	15.291	23.477	14.616
FBgn0000179	CG3578	bifid	0.014	0.017	0.081	0.104	0.029
FBgn0000180	CG4722	big brain	1.743	1.135	1.433	0.246	0.400
FBgn0000181	CG3644	bicaudal	865.188	728.403	608.336	272.393	485.164
FBgn0000182	CG4824	Bicaudal C	0.004	0.025	0.013	0.020	0.004
FBgn0000183	CG6605	Bicaudal D	1.301	1.939	2.606	1.751	1.569
FBgn0000206	CG8285	bride of sevenless	0.006	0.010	0.005	0.678	0.049
FBgn0000210	CG11491	broad	0.155	0.075	0.129	0.122	0.088
FBgn0000212	CG5942	brahma	0.799	0.460	0.584	0.641	0.445
FBgn0000216	CG3096	Bearded	0.010	0.022	0.007	0.016	0.005
FBgn0000221	CG4934	brainiac	5.628	6.354	6.193	9.537	6.166
FBgn0000227	CG12205	Blastoderm-specific gene 25A	0.018	0.000	0.003	0.000	0.000
FBgn0000228	CG14025	Blastoderm-specific gene 25D	0.346	0.374	0.403	0.645	0.560
FBgn0000229	CG5680	basket	11.243	14.626	14.695	19.366	9.589
FBgn0000233	CG12653	buttonhead	0.012	0.024	0.014	0.084	0.009
FBgn0000239	CG9242	burgundy	7.728	6.673	6.938	6.183	6.404
FBgn0000241	CG17632	brown	1.422	0.110	0.176	0.147	0.094
FBgn0000242			0.044	0.053	0.079	0.395	0.090
FBgn0000244	CG9379	blistery	4.314	4.029	2.407	3.725	5.767
FBgn0000246	CG17604	crossover suppressor on 3 of Gowen	0.117	0.416	0.210	0.354	0.237
FBgn0000247	CG31037	claret	1.035	1.372	1.039	1.519	1.613
FBgn0000250	CG5848	cactus	8.336	13.975	6.995	12.290	13.877
FBgn0000251	CG1759	caudal	2.604	2.693	2.668	7.373	2.815
FBgn0000253	CG8472	Calmodulin	69.354	88.417	117.001	101.398	129.751
FBgn0000256	CG3399	cappuccino	0.215	0.374	0.751	0.976	2.091
FBgn0000257	CG12230	carnation	1.882	1.866	2.576	2.797	1.997
FBgn0000259	CG15224	Casein kinase II beta subunit	12.541	9.652	11.944	11.482	8.096
FBgn0000261	CG6871	Catalase	19.973	33.745	28.688	34.610	62.757
FBgn0000273	CG4379	cAMP-dependent protein kinase 1	3.390	2.021	4.107	9.180	3.893
FBgn0000274	CG12066	cAMP-dependent protein kinase 2	0.002	0.000	0.003	0.000	0.000
FBgn0000276	CG1365	Cecropin A1	0.611	0.677	1.331	0.279	0.713
FBgn0000277	CG1367	Cecropin A2	0.261	0.257	0.149	0.053	0.158
FBgn0000278	CG1878	Cecropin B	0.072	0.093	0.394	0.374	0.623
FBgn0000279	CG1373	Cecropin C	30.414	0.026	0.016	24.301	43.835
FBgn0000280	CR32926	Cecropin pseudogene 1	0.000	0.000	0.000	0.090	0.000
FBgn0000281	CR32934	Cecropin 2	0.000	0.014	0.000	0.032	0.022
FBgn0000283	CG6384	Centrosomal protein 190kD	2.860	1.668	2.150	2.263	1.453
FBgn0000286	CG11924	Chorion factor 2	1.282	0.855	1.554	1.808	1.785
FBgn0000287	CG4881	spalt-related	0.005	0.004	0.006	0.033	0.006
FBgn0000289	CG8367	combgap	4.279	2.651	2.602	3.345	1.937
FBgn0000299	CG4145	Collagen type IV	0.008	0.114	0.047	1.191	0.188
FBgn0000303	CG12345	Choline acetyltransferase	0.074	0.107	0.147	3.791	0.225
FBgn0000307	CG5813	chiffon	0.722	0.520	0.533	0.324	0.358
FBgn0000308	CG9553	chickadee	110.235	114.618	96.301	96.230	89.632
FBgn0000313	CG1744	chaoptin	0.069	0.065	0.028	0.022	0.036
FBgn0000316	CG2945	cinnamon	0.001	0.001	0.001	0.004	0.000
FBgn0000317	CG7595	crinkled	0.193	0.490	0.451	0.332	0.607
FBgn0000318	CG11024	clot	61.409	125.907	171.759	100.693	132.740
FBgn0000319	CG9012	Clathrin heavy chain	5.977	8.790	6.998	9.516	7.413
FBgn0000320	CG9554	eyes absent	0.008	0.013	0.020	0.085	0.014
FBgn0000326	CG9858	cricklet	4.072	6.060	7.359	2.919	8.835
FBgn0000330	CG3035	carmine	1.392	1.221	2.195	4.163	1.370
FBgn0000337	CG1555	cinnabar	0.184	1.409	0.132	0.143	0.082
FBgn0000339	CG5855	cornichon	23.050	44.543	36.157	24.001	34.402
FBgn0000346	CG1618	comatose	0.119	0.174	0.143	0.957	0.135
FBgn0000351	CG11330	cortex	0.338	0.176	0.130	0.146	0.111
FBgn0000352	CG1708	costa	0.292	0.274	0.441	0.458	0.426
FBgn0000355	CG6519	Chorion protein 15	0.133	0.165	0.296	0.099	0.150
FBgn0000356	CG6533	Chorion protein 16	0.031	0.089	0.024	0.033	0.029
FBgn0000357	CG6517	Chorion protein 18	3.638	0.826	1.334	2.246	1.288
FBgn0000358	CG6524	Chorion protein 19	0.335	0.101	0.201	0.463	0.232
FBgn0000359	CG1478	Chorion protein 36	0.002	0.010	0.018	0.003	0.004
FBgn0000360	CG11213	Chorion protein 38	0.027	0.018	0.698	0.070	0.066
FBgn0000370	CG8669	cryptocephal	88.689	80.961	70.512	41.459	50.227
FBgn0000376	CG2714	cramped	0.587	0.469	0.439	0.383	0.341
FBgn0000377	CG3193	crooked neck	6.795	4.293	5.831	5.671	4.343
FBgn0000382	CG3954	corkscrew	1.047	1.222	1.419	2.731	2.652
FBgn0000384	CG17678	concertina	0.938	0.889	1.017	1.496	0.826
FBgn0000392	CG11181	cup	0.000	0.000	0.000	0.000	0.000
FBgn0000394	CG12410	crossveinless	2.133	2.012	1.515	0.467	2.826
FBgn0000395	CG15671	crossveinless 2	23.192	72.812	26.459	80.217	50.375
FBgn0000404	CG5940	Cyclin A	3.056	2.090	0.890	0.333	0.699
FBgn0000405	CG3510	Cyclin B	0.758	0.418	0.283	0.082	0.390
FBgn0000406	CG13279	Cytochrome b5-related	0.183	0.124	0.213	1.301	0.510
FBgn0000409	CG17903	Cytochrome c proximal	315.414	549.907	410.705	692.518	345.676
FBgn0000411	CG5893	Dichaete	0.513	0.025	0.016	0.458	0.277
FBgn0000412	CG9745	D1 chromosomal protein	48.650	24.179	24.325	31.064	20.828
FBgn0000413	CG5102	daughterless	9.777	7.142	6.783	6.639	7.033
FBgn0000414	CG9695	Disabled	0.081	0.042	0.022	0.412	0.115
FBgn0000416	CG12070	Saposin-related	37.209	58.757	74.978	172.008	119.912
FBgn0000422	CG10697	Dopa decarboxylase	0.369	1.506	2.051	0.532	5.839
FBgn0000426	CG16792	Small ribonucleoprotein particle protein SmF	127.385	104.131	86.112	95.931	53.569
FBgn0000427	CG2175	defective chorion 1	0.002	0.003	0.002	0.000	0.002
FBgn0000439	CG2189	Deformed	0.006	0.083	0.032	0.021	0.048
FBgn0000442	CG3324	cGMP-dependent protein kinase 21D	0.035	0.033	0.095	0.160	0.026
FBgn0000447	CG9741	Dihydroorotate dehydrogenase	36.086	22.567	21.121	13.428	13.918
FBgn0000448	CG33183	Hormone receptor-like in 46	0.141	0.207	0.106	0.389	0.068
FBgn0000449	CG12028	disembodied	0.048	0.213	0.016	0.215	0.146
FBgn0000451	CG6611	ectodermal	0.413	0.141	0.180	0.072	0.150
FBgn0000454	CG9285	Dipeptidase B	18.182	27.445	30.733	26.263	42.182
FBgn0000455	CG5663	Dipeptidase C	14.183	20.425	32.836	123.131	62.358
FBgn0000459	CG9908	disconnected	0.068	0.172	0.882	0.455	0.218
FBgn0000463	CG3619	Delta	11.623	0.753	2.047	0.586	1.714
FBgn0000464	CG10443	Leukocyte-antigen-related-like	0.216	0.178	0.402	0.376	0.163
FBgn0000473	CG9438	Cytochrome P450-6a2	1.379	3.566	0.022	5.456	0.046
FBgn0000477	CG7780	Deoxyribonuclease II	44.381	8.137	4.976	95.152	75.174
FBgn0000479	CG32498	dunce	1.001	0.569	0.871	2.556	0.985
FBgn0000482	CG3093	deep orange	1.506	1.144	1.725	2.061	1.321
FBgn0000489	CG6117	cAMP-dependent protein kinase 3	0.474	0.833	2.382	1.530	6.601
FBgn0000490	CG9885	decapentaplegic	0.027	0.054	0.038	0.034	0.185
FBgn0000492	CG1897	Drop	0.034	0.182	0.408	0.956	0.254
FBgn0000497	CG17941	dachsous	0.002	0.069	0.034	0.002	0.093
FBgn0000499	CG18361	dishevelled	1.876	1.350	1.563	2.071	1.016
FBgn0000500	CG18090	Drosulfakinin	0.007	0.037	0.032	0.234	0.107
FBgn0000504	CG11094	doublesex	0.726	0.999	0.925	0.900	0.731
FBgn0000520	CG2711	deformed wings	5.022	1.980	4.238	2.871	2.156
FBgn0000524	CG3929	deltex	4.130	2.423	2.043	2.165	1.527
FBgn0000527	CG3331	ebony	0.636	0.252	0.049	0.061	0.427
FBgn0000529	CG10604	brain-specific homeobox	0.019	0.039	0.025	0.052	0.016
FBgn0000533	CG4920	easter	0.113	3.848	0.178	0.216	17.974
FBgn0000535	CG10952	ether a go-go	0.016	0.012	0.055	0.268	0.015
